first_day_in_week,last_day_in_week,mean,days_in_week
2019-03-03,2019-03-09,-7.75,5
2019-03-10,2019-03-16,-1.75,5
2019-03-17,2019-03-23,2.25,5
2019-03-24,2019-03-30,-1.0,5
2019-03-31,2019-04-06,9.5,5
2019-04-07,2019-04-13,11.0,5
2019-04-14,2019-04-20,-3.25,5
2019-04-21,2019-04-27,7.75,5
2019-04-28,2019-05-04,-7.5,5
2019-05-05,2019-05-11,-0.25,5
2019-05-12,2019-05-18,11.0,5
2019-05-19,2019-05-25,-6.5,5
2019-05-26,2019-06-01,-10.75,5
2019-06-02,2019-06-08,-5.0,5
2019-06-09,2019-06-15,10.25,5
2019-06-16,2019-06-22,6.0,5
2019-06-23,2019-06-29,0.75,5
2019-06-30,2019-07-06,6.75,5
2019-07-07,2019-07-13,2.75,5
2019-07-14,2019-07-20,1.25,5
2019-07-21,2019-07-27,10.0,5
2019-07-28,2019-08-03,7.25,5
2019-08-04,2019-08-10,12.0,5
2019-08-11,2019-08-17,-29.0,5
2019-08-18,2019-08-24,14.5,5
2019-08-25,2019-08-31,-1.25,5
2019-09-01,2019-09-07,-7.0,5
2019-09-08,2019-09-14,13.5,5
2019-09-15,2019-09-21,11.0,4
2019-09-22,2019-09-28,4.0,5
2019-09-29,2019-10-05,3.0,2
2019-10-06,2019-10-12,-3.5,3
2019-10-13,2019-10-19,5.666666666666667,3
2019-10-20,2019-10-26,19.0,3
2019-10-27,2019-11-02,-6.0,5
2019-11-03,2019-11-09,-9.75,5
2019-11-10,2019-11-16,5.25,5
2019-11-17,2019-11-23,-7.0,5
2019-11-24,2019-11-30,18.75,5
2019-12-01,2019-12-07,2.5,5
2019-12-08,2019-12-14,-7.75,5
2019-12-15,2019-12-21,1.5,5
2019-12-22,2019-12-28,-0.5,5
2019-12-29,2020-01-04,5.0,5
2020-01-05,2020-01-11,-6.5,5
2020-01-12,2020-01-18,1.5,5
2020-01-19,2020-01-25,1.75,5
2020-01-26,2020-02-01,-1.75,5
2020-02-02,2020-02-08,7.5,5
2020-02-09,2020-02-15,8.5,5
2020-02-16,2020-02-22,-4.0,5
2020-02-23,2020-02-29,-12.25,5
2020-03-01,2020-03-07,-16.333333333333332,4
2020-03-08,2020-03-14,-65.33333333333333,4
2020-03-15,2020-03-21,-32.44999694824219,5
2020-03-22,2020-03-28,31.5,5
2020-03-29,2020-04-04,-8.0,5
2020-04-05,2020-04-11,7.333333333333333,3
2020-04-12,2020-04-18,-37.75,3
2020-04-19,2020-04-25,-11.25,5
2020-04-26,2020-05-02,-0.5,3
2020-05-03,2020-05-09,3.0,5
2020-05-10,2020-05-16,-31.25,5
2020-05-17,2020-05-23,-6.25,5
2020-05-24,2020-05-30,17.0,4
2020-05-31,2020-06-06,5.25,5
2020-06-07,2020-06-13,25.75,4
2020-06-14,2020-06-20,-2.75,5
2020-06-21,2020-06-27,-2.75,5
2020-06-28,2020-07-04,18.74999523162836,5
2020-07-05,2020-07-11,6.5,5
2020-07-12,2020-07-18,-18.0,5
2020-07-19,2020-07-25,-6.25,5
